Game,Datetime,Market,Event/Person/Team,Odds,Update timestamp
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.08,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.79,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.93,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.91,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,San Miguel Beermen,1.47,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,Magnolia Hotshots,2.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -4.5,1.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +4.5,2.06,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.94,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 1-5,5.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 6-10,4,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 6-10,6.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 11-15,6.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 11-15,12,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 16-20,8.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 16-20,20,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 21-25,15,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 21-25,45,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 26+,18,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 26+,70,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.5,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.32,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.02,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.84,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.96,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.88,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,San Miguel Beermen,1.47,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,Magnolia Hotshots,2.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -4.5,1.77,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +4.5,2.11,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.94,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 1-5,5.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 6-10,4,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 6-10,6.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 11-15,6.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 11-15,12,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 16-20,8.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 16-20,20,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 21-25,15,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 21-25,45,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 26+,18,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 26+,70,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.5,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.32,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.02,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.84,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.96,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.88,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -5.5,1.86,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +5.5,1.99,17/06/2022 14:25
